Date,서울,강북,강남,부산,대구,인천,광주,대전,울산,수도권,경기,강원,충북,충남,전북,전남,경북,경남,기타
2016-01-01,"49,447","40,539","58,260","22,703","26,391","21,274","20,262","21,104","25,224","36,895","30,591","15,878","17,014","18,290","16,040","13,636","16,524","22,817","18,120"
2016-02-01,"49,513","40,620","58,311","22,777","26,374","21,317","20,328","21,118","25,317","36,931","30,599","15,936","17,010","18,292","16,063","13,658","16,482","22,875","18,153"
2016-03-01,"49,572","40,721","58,328","22,865","26,324","21,355","20,342","21,141","25,489","36,975","30,632","16,099","17,005","18,268","16,067","13,691","16,462","22,916","18,186"
2016-04-01,"49,689","40,841","58,443","22,976","26,312","21,426","20,340","21,143","25,599","37,044","30,658","16,172","16,995","18,263","16,053","13,721","16,426","22,929","18,207"
2016-05-01,"49,904","40,992","58,720","23,121","26,225","21,458","20,371","21,146","25,600","37,161","30,715","16,306","16,978","18,273","16,066","13,753","16,380","22,932","18,221"
2016-06-01,"50,198","41,137","59,161","23,203","26,185","21,521","20,457","21,237","25,570","37,322","30,790","16,362","16,940","18,279","16,079","13,758","16,311","22,937","18,229"
2016-07-01,"50,611","41,402","59,722","23,403","26,123","21,609","20,531","21,244","25,583","37,550","30,898","16,489","16,927","18,184","16,102","13,828","16,257","22,948","18,249"
2016-08-01,"51,019","41,674","60,263","23,624","26,050","21,722","20,626","21,299","25,604","37,781","31,010","16,672","16,961","18,135","16,115","13,904","16,125","22,963","18,265"
2016-09-01,"51,416","41,924","60,806","23,934","26,019","21,840","20,634","21,308","25,597","38,004","31,112","16,835","17,007","18,141","16,154","13,934","16,124","22,971","18,339"
2016-10-01,"52,085","42,463","61,603","24,478","26,009","22,012","20,705","21,351","25,597","38,368","31,267","16,965","17,044","18,148","16,189","13,988","16,129","22,987","18,386"
2016-11-01,"52,592","42,873","62,206","24,944","26,016","22,134","20,894","21,401","25,606","38,663","31,429","17,149","16,991","18,125","16,284","14,106","16,061","23,032","18,448"
2016-12-01,"52,730","42,985","62,371","25,160","26,055","22,178","20,938","21,423","25,618","38,755","31,495","17,214","16,968","18,102","16,317","14,177","16,141","23,066","18,486"
2017-01-01,"52,823","43,045","62,495","25,398","26,054","22,175","20,983","21,444","25,633","38,824","31,565","17,255","16,958","18,083","16,326","14,287","16,140","23,059","18,498"
2017-02-01,"52,906","43,126","62,582","25,508","26,045","22,199","21,050","21,477","25,639","38,887","31,620","17,279","16,942","18,120","16,347","14,331","16,184","23,085","18,527"
2017-03-01,"53,054","43,234","62,769","25,674","26,060","22,250","21,134","21,514","25,759","38,979","31,675","17,324","16,927","18,110","16,375","14,371","16,269","23,072","18,548"
2017-04-01,"53,248","43,349","63,040","25,803","26,104","22,300","21,160","21,536","25,795","39,078","31,706","17,445","16,908","18,077","16,409","14,412","16,353","23,064","18,571"
2017-05-01,"53,587","43,520","63,546","25,952","26,121","22,355","21,190","21,537","25,813","39,251","31,770","17,621","16,888","18,076","16,436","14,497","16,332","23,022","18,584"
2017-06-01,"54,314","43,897","64,620","26,135","26,075","22,399","21,233","21,552","25,876","39,604","31,888","17,630","16,863","18,072","16,453","14,575","16,308","22,955","18,581"
2017-07-01,"54,831","44,262","65,287","26,277","26,165","22,484","21,256","21,584","25,870","39,884","32,020","17,652","16,856","18,067","16,475","14,675","16,281","22,857","18,584"
2017-08-01,"55,566","44,711","66,303","26,388","26,349","22,596","21,331","21,616","25,805","40,267","32,177","17,686","16,787","18,018","16,492","14,723","16,249","22,761","18,570"
2017-09-01,"55,793","44,902","66,568","26,429","26,497","22,654","21,393","21,644","25,778","40,412","32,277","17,732","16,743","17,967","16,509","14,796","16,207","22,652","18,547"
2017-10-01,"56,155","45,130","67,062","26,465","26,623","22,684","21,460","21,696","25,712","40,602","32,363","17,745","16,704","17,914","16,537","14,887","16,151","22,563","18,530"
2017-11-01,"56,622","45,388","67,736","26,497","26,776","22,716","21,615","21,742","25,697","40,837","32,456","17,775","16,660","17,882","16,570","15,007","16,166","22,409","18,510"
2017-12-01,"57,246","45,665","68,702","26,524","26,851","22,748","21,764","21,777","25,658","41,136","32,552","17,788","16,621","17,858","16,591","15,081","16,157","22,280","18,484"
